,R. salebrosus,descriptions
PF02777,3,"Iron/manganese superoxide dismutases, C-terminal domain"
PF16862,3,Glycosyl hydrolase family 79 C-terminal beta domain
PF00773,3,RNB domain
PF13472,3,GDSL-like Lipase/Acylhydrolase family
PF03443,3,Auxiliary Activity family 9 (formerly GH61)
PF18885,3,Repeat of unknown function (DUF5648)
PF01169,3,Uncharacterized protein family UPF0016
PF13515,3,Fusaric acid resistance protein-like
PF14437,3,MafB19-like deaminase
PF00956,3,Nucleosome assembly protein (NAP)
PF01055,3,Glycosyl hydrolases family 31
PF01048,3,Phosphorylase superfamily
PF00696,3,Amino acid kinase family
PF00199,3,Catalase
PF06628,3,Catalase-related immune-responsive
PF00472,3,RF-1 domain
PF13774,3,Regulated-SNARE-like domain
PF00722,3,Glycosyl hydrolases family 16
PF00433,3,Protein kinase C terminal domain
PF13685,3,Iron-containing alcohol dehydrogenase
PF17681,3,Gamma tubulin complex component N-terminal
PF05047,3,Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF19269,3,Anticodon binding domain
PF12763,3,Cytoskeletal-regulatory complex EF hand
PF13805,3,Eisosome component PIL1
PF00596,3,Class II Aldolase and Adducin N-terminal domain
PF06999,3,Sucrase/ferredoxin-like
PF17866,3,AAA lid domain
PF00198,3,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF02817,3,e3 binding domain
PF01368,3,DHH family
PF02833,3,DHHA2 domain
PF14613,3,Protein of unknown function (DUF4449)
PF01595,3,Cyclin M transmembrane N-terminal domain
PF01063,3,Amino-transferase class IV
PF02150,3,RNA polymerases M/15 Kd subunit
PF01412,3,Putative GTPase activating protein for Arf
PF05190,3,MutS family domain IV
PF00623,3,"RNA polymerase Rpb1, domain 2"
PF04983,3,"RNA polymerase Rpb1, domain 3"
PF04997,3,"RNA polymerase Rpb1, domain 1"
PF04998,3,"RNA polymerase Rpb1, domain 5"
PF05000,3,"RNA polymerase Rpb1, domain 4"
PF03221,3,Tc5 transposase DNA-binding domain
PF04051,3,Transport protein particle (TRAPP) component
PF00909,3,Ammonium Transporter Family
PF00611,3,"Fes/CIP4, and EFC/F-BAR homology domain"
PF17852,3,Dynein heavy chain AAA lid domain
PF04757,3,Pex2 / Pex12 amino terminal region
PF01095,3,Pectinesterase
PF07971,3,Glycosyl hydrolase family 92
PF17678,3,Glycosyl hydrolase family 92 N-terminal domain
PF02136,3,Nuclear transport factor 2 (NTF2) domain
PF01124,3,MAPEG family
PF02558,3,Ketopantoate reductase PanE/ApbA
PF00514,3,Armadillo/beta-catenin-like repeat
PF00887,3,Acyl CoA binding protein
PF00549,3,CoA-ligase
PF08389,3,Exportin 1-like protein
PF00735,3,Septin
PF08801,3,Nup133 N terminal like
PF01168,3,"Alanine racemase, N-terminal domain"
PF00857,3,Isochorismatase family
PF04679,3,ATP dependent DNA ligase C terminal region
PF13424,3,Tetratricopeptide repeat
PF10431,3,"C-terminal, D2-small domain, of ClpB protein"
PF00136,3,DNA polymerase family B
PF01652,3,Eukaryotic initiation factor 4E
PF06293,3,Lipopolysaccharide kinase (Kdo/WaaP) family
PF05193,3,Peptidase M16 inactive domain
PF01728,3,FtsJ-like methyltransferase
PF05648,3,Peroxisomal biogenesis factor 11 (PEX11)
PF01388,3,ARID/BRIGHT DNA binding domain
PF10346,3,Conidiation protein 6
PF02984,3,"Cyclin, C-terminal domain"
PF05222,3,"Alanine dehydrogenase/PNT, N-terminal domain"
PF15409,3,Pleckstrin homology domain
PF01145,3,SPFH domain / Band 7 family
PF14580,3,Leucine-rich repeat
PF03009,3,Glycerophosphoryl diester phosphodiesterase family
PF12867,3,DinB superfamily
PF11919,3,Domain of unknown function (DUF3437)
PF16507,3,"Proteasome-substrate-size regulator, mid region"
PF01612,3,3'-5' exonuclease
PF12706,3,Beta-lactamase superfamily domain
PF12352,3,Snare region anchored in the vesicle membrane C-terminus
PF08542,3,Replication factor C C-terminal domain
PF00687,3,Ribosomal protein L1p/L10e family
PF13714,3,Phosphoenolpyruvate phosphomutase
PF00027,3,Cyclic nucleotide-binding domain
PF01179,3,"Copper amine oxidase, enzyme domain"
PF00390,3,"Malic enzyme, N-terminal domain"
PF03949,3,"Malic enzyme, NAD binding domain"
PF10342,3,Kre9/KNH-like N-terminal Ig-like domain
PF00163,3,Ribosomal protein S4/S9 N-terminal domain
PF01778,3,Ribosomal L28e protein family
PF01735,3,Lysophospholipase catalytic domain
PF08766,3,DEK C terminal domain
PF19271,3,Nis1 family
PF00637,3,Region in Clathrin and VPS
PF04828,3,Glutathione-dependent formaldehyde-activating enzyme
PF06367,3,Diaphanous FH3 Domain
PF02375,3,jmjN domain
PF00994,3,Probable molybdopterin binding domain
PF08719,3,NADAR domain
PF02269,3,"Transcription initiation factor IID, 18kD subunit"
PF01205,3,Uncharacterized protein family UPF0029
PF02259,3,FAT domain
PF02260,3,FATC domain
PF15926,3,E3 ubiquitin-protein ligase RNF220
PF05916,3,GINS complex protein
PF10996,3,Beta-Casp domain
PF16661,3,Metallo-beta-lactamase superfamily domain
PF04818,3,CID domain
PF04042,3,DNA polymerase alpha/epsilon subunit B
PF03798,3,TLC domain
PF10436,3,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
PF13621,3,Cupin-like domain
PF00465,3,Iron-containing alcohol dehydrogenase
PF04628,3,"Sedlin, N-terminal conserved region"
PF17786,3,Mannosidase Ig/CBM-like domain
PF03637,3,Mob1/phocein family
PF01648,3,4'-phosphopantetheinyl transferase superfamily
PF04003,3,Dip2/Utp12 Family
PF02889,3,Sec63 Brl domain
PF14681,3,Uracil phosphoribosyltransferase
PF05148,3,Hypothetical methyltransferase
PF01798,3,"snoRNA binding domain, fibrillarin"
PF04438,3,HIT zinc finger
PF00638,3,RanBP1 domain
PF09444,3,MRC1-like domain
PF03928,3,Haem degrading protein HbpS-like
PF18758,3,Kyakuja-Dileera-Zisupton transposase
PF03062,3,"MBOAT, membrane-bound O-acyltransferase family"
PF00370,3,"FGGY family of carbohydrate kinases, N-terminal domain"
PF02782,3,"FGGY family of carbohydrate kinases, C-terminal domain"
PF07915,3,Glucosidase II beta subunit-like protein
PF08543,3,Phosphomethylpyrimidine kinase
PF08449,3,UAA transporter family
PF18044,3,CCCH-type zinc finger
PF00428,3,60s Acidic ribosomal protein
PF03765,3,"CRAL/TRIO, N-terminal domain"
PF02815,3,MIR domain
PF08519,3,Replication factor RFC1 C terminal domain
PF13344,3,Haloacid dehalogenase-like hydrolase
PF03848,3,Tellurite resistance protein TehB
PF00582,3,Universal stress protein family
PF07929,3,Plasmid pRiA4b ORF-3-like protein
PF02775,3,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
PF02776,3,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
PF03178,3,CPSF A subunit region
PF10433,3,Mono-functional DNA-alkylating methyl methanesulfonate N-term
PF12861,3,Anaphase-promoting complex subunit 11 RING-H2 finger
PF14523,3,Syntaxin-like protein
PF04495,3,GRASP55/65 PDZ-like domain
PF00254,3,FKBP-type peptidyl-prolyl cis-trans isomerase
PF00538,3,linker histone H1 and H5 family
PF12612,3,Tubulin folding cofactor D C terminal
PF08512,3,Histone chaperone Rttp106-like
PF00230,3,Major intrinsic protein
PF00614,3,Phospholipase D Active site motif
PF00494,3,Squalene/phytoene synthase
PF06441,3,Epoxide hydrolase N terminus
PF11807,3,Mycotoxin biosynthesis protein UstYa
PF01126,3,Heme oxygenase
PF07885,3,Ion channel
PF05127,3,Helicase
PF10469,3,AKAP7 2'5' RNA ligase-like domain
PF00728,3,"Glycosyl hydrolase family 20, catalytic domain"
PF14845,3,beta-acetyl hexosaminidase like
PF05033,3,Pre-SET motif
PF00610,3,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
PF01285,3,TEA/ATTS domain
PF03914,3,CBF/Mak21 family
PF01679,3,Proteolipid membrane potential modulator
PF07819,3,PGAP1-like protein
PF00406,3,Adenylate kinase
PF13207,3,AAA domain
PF17171,3,"Glutathione S-transferase, C-terminal domain"
PF00467,3,KOW motif
PF00743,3,Flavin-binding monooxygenase-like
PF00483,3,Nucleotidyl transferase
PF02020,3,eIF4-gamma/eIF5/eIF2-epsilon
PF01189,3,16S rRNA methyltransferase RsmB/F
PF01974,3,"tRNA intron endonuclease, catalytic C-terminal domain"
PF13177,3,"DNA polymerase III, delta subunit"
PF00682,3,HMGL-like
PF01231,3,"Indoleamine 2,3-dioxygenase"
PF07933,3,Protein of unknown function (DUF1681)
PF00989,3,PAS fold
PF00551,3,Formyl transferase
PF00916,3,Sulfate permease family
PF01740,3,STAS domain
PF09742,3,Dyggve-Melchior-Clausen syndrome protein
PF12722,3,High-temperature-induced dauer-formation protein
PF13422,3,Domain of unknown function (DUF4110)
PF00626,3,Gelsolin repeat
PF04810,3,Sec23/Sec24 zinc finger
PF04811,3,Sec23/Sec24 trunk domain
PF08033,3,Sec23/Sec24 beta-sandwich domain
PF02746,3,"Mandelate racemase / muconate lactonizing enzyme, N-terminal domain"
PF06201,3,PITH domain
PF01077,3,Nitrite and sulphite reductase 4Fe-4S domain
PF03460,3,Nitrite/Sulfite reductase ferredoxin-like half domain
PF13806,3,Rieske-like [2Fe-2S] domain
PF03006,3,Haemolysin-III related
PF02002,3,TFIIE alpha subunit
PF04068,3,"Possible Fer4-like domain in RNase L inhibitor, RLI"
PF06422,3,CDR ABC transporter
PF14510,3,ABC-transporter N-terminal
PF12752,3,SUZ domain
PF03725,3,"3' exoribonuclease family, domain 2"
PF16487,3,Mid domain of argonaute
PF01424,3,R3H domain
PF01702,3,Queuine tRNA-ribosyltransferase
PF05336,3,L-rhamnose mutarotase
PF00817,3,impB/mucB/samB family
PF11799,3,impB/mucB/samB family C-terminal domain
PF04199,3,Putative cyclase
PF04882,3,Peroxin-3
PF04005,3,Hus1-like protein
PF05705,3,Eukaryotic protein of unknown function (DUF829)
PF08544,3,GHMP kinases C terminal
PF02636,3,Putative S-adenosyl-L-methionine-dependent methyltransferase
PF13832,3,PHD-zinc-finger like domain
PF02787,3,"Carbamoyl-phosphate synthetase large chain, oligomerisation domain"
PF12243,3,CTD kinase subunit gamma CTK3
PF12350,3,CTD kinase subunit gamma CTK3 C-terminus
PF02872,3,"5'-nucleotidase, C-terminal domain"
PF01112,3,Asparaginase
PF08539,3,HbrB-like
PF01613,3,Flavin reductase like domain
PF05879,3,Root hair defective 3 GTP-binding protein (RHD3) GTPase domain
PF07250,3,Glyoxal oxidase N-terminus
PF00211,3,Adenylate and Guanylate cyclase catalytic domain
PF00560,3,Leucine Rich Repeat
PF03399,3,SAC3/GANP family
PF15405,3,Pleckstrin homology domain
PF14308,3,X-domain of DnaJ-containing
PF03876,3,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
PF03997,3,VPS28 protein
PF00512,3,His Kinase A (phospho-acceptor) domain
PF11951,3,Fungal specific transcription factor domain
PF07534,2,TLD
PF01184,2,GPR1/FUN34/yaaH family
PF05050,2,Methyltransferase FkbM domain
PF13383,2,Methyltransferase domain
PF13360,2,PQQ-like domain
PF00203,2,Ribosomal protein S19
PF02338,2,OTU-like cysteine protease
PF02996,2,Prefoldin subunit
PF08101,2,Meiotically up-regulated protein Msb1/Mug8 domain
PF11605,2,Vacuolar protein sorting protein 36 Vps36
PF04987,2,Phosphatidylinositolglycan class N (PIG-N)
PF02149,2,Kinase associated domain 1
PF10397,2,Adenylosuccinate lyase C-terminus
PF01988,2,VIT family
PF00849,2,RNA pseudouridylate synthase
PF00565,2,Staphylococcal nuclease homologue
PF03079,2,ARD/ARD' family
PF09329,2,Primase zinc finger
PF02096,2,60Kd inner membrane protein
PF01222,2,Ergosterol biosynthesis ERG4/ERG24 family
PF08146,2,BP28CT (NUC211) domain
PF12397,2,U3 small nucleolar RNA-associated protein 10
PF12559,2,Serine endopeptidase inhibitors
PF14716,2,Helix-hairpin-helix domain
PF16209,2,Phospholipid-translocating ATPase N-terminal
PF16212,2,Phospholipid-translocating P-type ATPase C-terminal
PF12430,2,Abscisic acid G-protein coupled receptor
PF12537,2,The Golgi pH Regulator (GPHR) Family N-terminal
PF02055,2,Glycosyl hydrolase family 30 TIM-barrel domain
PF02057,2,Glycosyl hydrolase family 59
PF00931,2,NB-ARC domain
PF01416,2,tRNA pseudouridine synthase
PF04566,2,"RNA polymerase Rpb2, domain 4"
PF04567,2,"RNA polymerase Rpb2, domain 5"
PF17832,2,Pre-PUA-like domain
PF00398,2,Ribosomal RNA adenine dimethylase
PF08190,2,PIH1 N-terminal domain
PF00793,2,DAHP synthetase I family
PF03828,2,Cid1 family poly A polymerase
PF00056,2,"lactate/malate dehydrogenase, NAD binding domain"
PF02866,2,"lactate/malate dehydrogenase, alpha/beta C-terminal domain"
PF10281,2,Putative nuclear envelope organisation protein
PF00484,2,Carbonic anhydrase
PF00081,2,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF14749,2,Acyl-coenzyme A oxidase N-terminal
PF05383,2,La domain
PF09130,2,Domain of unknown function (DUF1932)
PF19283,2,"Acylamino-acid-releasing enzyme, N-terminal domain"
PF01074,2,Glycosyl hydrolases family 38 N-terminal domain
PF07748,2,Glycosyl hydrolases family 38 C-terminal domain
PF09261,2,Alpha mannosidase middle domain
PF17677,2,Glycosyl hydrolases family 38 C-terminal beta sandwich domain
PF01062,2,"Bestrophin, RFP-TM, chloride channel"
PF17849,2,Dis3-like cold-shock domain 2 (CSD2)
PF03127,2,GAT domain
PF09127,2,"Leukotriene A4 hydrolase, C-terminal"
PF02301,2,HORMA domain
PF10334,2,Aromatic acid exporter family member 2
PF03547,2,Membrane transport protein
PF10497,2,Zinc-finger domain of monoamine-oxidase A repressor R1
PF01118,2,"Semialdehyde dehydrogenase, NAD binding domain"
PF04768,2,"NAT, N-acetyltransferase, of N-acetylglutamate synthase"
PF03931,2,"Skp1 family, tetramerisation domain"
PF08265,2,YL1 nuclear protein C-terminal domain
PF10585,2,"Ubiquitin-activating enzyme, SCCH domain"
PF08148,2,DSHCT (NUC185) domain
PF13234,2,rRNA-processing arch domain
PF02736,2,Myosin N-terminal SH3-like domain
PF01183,2,Glycosyl hydrolases family 25
PF01583,2,Adenylylsulphate kinase
PF08450,2,SMP-30/Gluconolactonase/LRE-like region
PF00190,2,Cupin
PF00568,2,WH1 domain
PF14531,2,Kinase-like
PF02816,2,Alpha-kinase family
PF10282,2,"Lactonase, 7-bladed beta-propeller"
PF04182,2,B-block binding subunit of TFIIIC
PF02548,2,Ketopantoate hydroxymethyltransferase
PF00411,2,Ribosomal protein S11
PF13837,2,Myb/SANT-like DNA-binding domain
PF14847,2,Ras-binding domain of Byr2
PF00854,2,POT family
PF13533,2,Biotin-lipoyl like
PF13393,2,Histidyl-tRNA synthetase
PF12708,2,Pectate lyase superfamily protein
PF19343,2,Family of unknown function (DUF5923)
PF12271,2,Chitin synthase export chaperone
PF12572,2,Protein of unknown function (DUF3752)
PF17900,2,Peptidase M1 N-terminal domain
PF09336,2,Vps4 C terminal oligomerisation domain
PF00535,2,Glycosyl transferase family 2
PF12848,2,ABC transporter
PF01933,2,2-phospho-L-lactate transferase CofD
PF04419,2,4F5 protein related disordered region
PF07529,2,HSA domain
PF02037,2,SAP domain
PF01521,2,Iron-sulphur cluster biosynthesis
PF01172,2,Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF04366,2,Las17-binding protein actin regulator
PF18199,2,Dynein heavy chain C-terminal domain
PF17857,2,AAA+ lid domain
PF14447,2,Prokaryotic RING finger family 4
PF01182,2,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01212,2,Beta-eliminating lyase
PF02902,2,"Ulp1 protease family, C-terminal catalytic domain"
PF02178,2,AT hook motif
PF01872,2,RibD C-terminal domain
PF12622,2,mRNA biogenesis factor
PF01027,2,Inhibitor of apoptosis-promoting Bax1
PF03099,2,Biotin/lipoate A/B protein ligase family
PF07973,2,Threonyl and Alanyl tRNA synthetase second additional domain
PF03764,2,"Elongation factor G, domain IV"
PF01274,2,Malate synthase
PF02769,2,"AIR synthase related protein, C-terminal domain"
PF00756,2,Putative esterase
PF13506,2,Glycosyl transferase family 21
PF01026,2,TatD related DNase
PF12234,2,RAVE protein 1 C terminal
PF00996,2,GDP dissociation inhibitor
PF01434,2,Peptidase family M41
PF00366,2,Ribosomal protein S17
PF01019,2,Gamma-glutamyltranspeptidase
PF11710,2,G protein-coupled glucose receptor regulating Gpa2
PF13886,2,Domain of unknown function (DUF4203)
PF09270,2,Beta-trefoil DNA-binding domain
PF09271,2,"LAG1, DNA binding"
PF01851,2,Proteasome/cyclosome repeat
PF02629,2,CoA binding domain
PF07890,2,Rrp15p
PF01843,2,DIL domain
PF00977,2,Histidine biosynthesis protein
PF01174,2,SNO glutamine amidotransferase family
PF00573,2,Ribosomal protein L4/L1 family
PF00380,2,Ribosomal protein S9/S16
PF13230,2,Glutamine amidotransferases class-II
PF00408,2,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF01450,2,"Acetohydroxy acid isomeroreductase, catalytic domain"
PF07991,2,"Acetohydroxy acid isomeroreductase, NADPH-binding domain"
PF14031,2,Putative serine dehydratase domain
PF16891,2,Serine-threonine protein phosphatase N-terminal domain
PF03650,2,Mitochondrial pyruvate carriers
PF13793,2,N-terminal domain of ribose phosphate pyrophosphokinase
PF00158,2,Sigma-54 interaction domain
PF17871,2,AAA lid domain
PF02883,2,Adaptin C-terminal domain
PF00616,2,GTPase-activator protein for Ras-like GTPase
PF01151,2,GNS1/SUR4 family
PF10483,2,Elongator subunit Iki1
PF04774,2,Hyaluronan / mRNA binding family
PF09202,2,"Rio2, N-terminal"
PF04695,2,Pex14 N-terminal domain
PF03330,2,Lytic transglycolase
PF02221,2,ML domain
PF00572,2,Ribosomal protein L13
PF18345,2,Zinc finger domain
PF12854,2,PPR repeat
PF00814,2,tRNA N6-adenosine threonylcarbamoyltransferase
PF01501,2,Glycosyl transferase family 8
PF08583,2,Cytochrome c oxidase biogenesis protein Cmc1 like
PF01472,2,PUA domain
PF01509,2,TruB family pseudouridylate synthase (N terminal domain)
PF13238,2,AAA domain
PF08576,2,Eukaryotic protein of unknown function (DUF1764)
PF02213,2,GYF domain
PF08914,2,Rap1 Myb domain
PF15410,2,Pleckstrin homology domain
PF04900,2,Fcf1
PF09430,2,"ER membrane protein complex subunit 7, beta-sandwich domain"
PF20179,2,MSS51 C-terminal domain
PF00330,2,Aconitase family (aconitate hydratase)
PF00393,2,"6-phosphogluconate dehydrogenase, C-terminal domain"
PF02921,2,Ubiquinol cytochrome reductase transmembrane region
PF03226,2,"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
PF13622,2,Thioesterase-like superfamily
PF01997,2,Translin family
PF01566,2,Natural resistance-associated macrophage protein
PF01965,2,DJ-1/PfpI family
PF02893,2,GRAM domain
PF04707,2,PRELI-like family
PF02421,2,Ferrous iron transport protein B
PF02824,2,TGS domain
PF00382,2,Transcription factor TFIIB repeat
PF08271,2,TFIIB zinc-binding
PF06472,2,ABC transporter transmembrane region 2
PF13176,2,Tetratricopeptide repeat
PF04410,2,Gar1/Naf1 RNA binding region
PF13840,2,ACT domain
PF00425,2,chorismate binding enzyme
PF04715,2,"Anthranilate synthase component I, N terminal region"
PF10250,2,GDP-fucose protein O-fucosyltransferase
PF08546,2,Ketopantoate reductase PanE/ApbA C terminal
PF14560,2,Ubiquitin-like domain
PF02347,2,Glycine cleavage system P-protein
PF07651,2,ANTH domain
PF01504,2,Phosphatidylinositol-4-phosphate 5-Kinase
PF00463,2,Isocitrate lyase family
PF08797,2,HIRAN domain
PF04000,2,Sas10/Utp3/C1D family
PF06244,2,Coiled-coil domain-containing protein 124 /Oxs1
PF03398,2,Regulator of Vps4 activity in the MVB pathway
PF12998,2,Inhibitor of growth proteins N-terminal histone-binding
PF16916,2,Dimerisation domain of Zinc Transporter
PF03476,2,MOSC N-terminal beta barrel domain
PF00639,2,PPIC-type PPIASE domain
PF13616,2,PPIC-type PPIASE domain
PF12047,2,Cytosine specific DNA methyltransferase replication foci domain
PF05207,2,CSL zinc finger
PF19259,2,Ty3 transposon capsid-like protein
PF00459,2,Inositol monophosphatase family
PF00312,2,Ribosomal protein S15
PF09811,2,"Essential protein Yae1, N terminal"
PF12698,2,ABC-2 family transporter protein
PF00181,2,"Ribosomal Proteins L2, RNA binding domain"
PF03947,2,"Ribosomal Proteins L2, C-terminal domain"
PF06068,2,TIP49 P-loop domain
PF17856,2,TIP49 AAA-lid domain
PF14304,2,Transcription termination and cleavage factor C-terminal
PF14327,2,Hinge domain of cleavage stimulation factor subunit 2
PF09451,2,Autophagy-related protein 27
PF05277,2,Protein of unknown function (DUF726)
PF13241,2,Putative NAD(P)-binding
PF14823,2,Sirohaem biosynthesis protein C-terminal
PF14824,2,Sirohaem biosynthesis protein central
PF00335,2,Tetraspanin family
PF01157,2,Ribosomal protein L21e
PF02290,2,Signal recognition particle 14kD protein
PF11443,2,Domain of unknown function (DUF2828)
PF10315,2,Altered inheritance of mitochondria protein 19
PF00860,2,Permease family
PF05236,2,Transcription initiation factor TFIID component TAF4 family
PF01156,2,Inosine-uridine preferring nucleoside hydrolase
PF02181,2,Formin Homology 2 Domain
PF00763,2,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
PF02933,2,"Cell division protein 48 (CDC48), domain 2"
PF00244,2,14-3-3 protein
PF08287,2,Spc19
PF09248,2,Domain of unknown function (DUF1965)
PF08777,2,RNA binding motif
PF01507,2,Phosphoadenosine phosphosulfate reductase family
PF06011,2,Transient receptor potential (TRP) ion channel
PF16367,2,RNA recognition motif
PF00338,2,Ribosomal protein S10p/S20e
PF01039,2,Carboxyl transferase domain
PF11754,2,Velvet factor
PF00037,2,4Fe-4S binding domain
PF13237,2,4Fe-4S dicluster domain
PF00925,2,GTP cyclohydrolase II
PF09325,2,Vps5 C terminal like
PF01564,2,Spermine/spermidine synthase domain
PF02225,2,PA domain
PF07393,2,Exocyst complex component Sec10
PF04091,2,Exocyst complex subunit Sec15-like
PF07521,2,Zn-dependent metallo-hydrolase RNA specificity domain
PF03950,2,"tRNA synthetases class I (E and Q), anti-codon binding domain"
PF06220,2,U1 zinc finger
PF05057,2,Putative serine esterase (DUF676)
PF14464,2,Prokaryotic homologs of the JAB domain
PF00924,2,Mechanosensitive ion channel
PF01409,2,tRNA synthetases class II core domain (F)
PF17759,2,Phenylalanyl tRNA synthetase beta chain CLM domain
PF01902,2,Diphthamide synthase
PF03463,2,eRF1 domain 1
PF03464,2,eRF1 domain 2
PF03465,2,eRF1 domain 3
PF00347,2,Ribosomal protein L6
PF08390,2,TRAM1-like protein
PF01214,2,Casein kinase II regulatory subunit
PF02205,2,WH2 motif
PF02190,2,ATP-dependent protease La (LON) substrate-binding domain
PF00237,2,Ribosomal protein L22p/L17e
PF00183,2,Hsp90 protein
PF01846,2,FF domain
PF00612,2,IQ calmodulin-binding motif
PF03836,2,RasGAP C-terminus
PF12783,2,Guanine nucleotide exchange factor in Golgi transport N-terminal
PF13233,2,Complex1_LYR-like
PF07798,2,Coiled-coil domain-containing protein 90-like
PF03987,2,"Autophagocytosis associated protein, active-site domain"
PF04722,2,Ssu72-like protein
PF00268,2,"Ribonucleotide reductase, small chain"
PF03155,2,"ALG6, ALG8 glycosyltransferase family"
PF10348,2,Domain of unknown function (DUF2427)
PF10355,2,Protein of unknown function (Ytp1)
PF11790,2,Glycosyl hydrolase catalytic core
PF00298,2,"Ribosomal protein L11, RNA binding domain"
PF03946,2,"Ribosomal protein L11, N-terminal domain"
PF11882,2,Domain of unknown function (DUF3402)
PF08487,2,Vault protein inter-alpha-trypsin domain
PF13768,2,von Willebrand factor type A domain
PF03159,2,XRN 5'-3' exonuclease N-terminus
PF08432,2,AAA-ATPase Vps4-associated protein 1
PF01733,2,Nucleoside transporter
PF04153,2,NOT2 / NOT3 / NOT5 family
PF05071,2,NADH ubiquinone oxidoreductase subunit NDUFA12
PF16561,2,Glycogen recognition site of AMP-activated protein kinase
PF11927,2,Protein of unknown function (DUF3445)
PF00349,2,Hexokinase
PF03727,2,Hexokinase
PF08520,2,Fungal protein of unknown function (DUF1748)
PF11715,2,Nucleoporin Nup120/160
PF01171,2,PP-loop family
PF08156,2,NOP5NT (NUC127) domain
PF13668,2,Ferritin-like domain
PF10309,2,Nuclear cap-binding protein subunit 3
PF00177,2,Ribosomal protein S7p/S5e
PF01000,2,RNA polymerase Rpb3/RpoA insert domain
PF11987,2,Translation-initiation factor 2
PF05195,2,"Aminopeptidase P, N-terminal domain"
PF04056,2,Ssl1-like
PF03587,2,EMG1/NEP1 methyltransferase
PF16575,2,mRNA cleavage and polyadenylation factor CLP1 P-loop
PF00788,2,Ras association (RalGDS/AF-6) domain
PF05843,2,Suppressor of forked protein (Suf)
PF03644,2,Glycosyl hydrolase family 85
PF04248,2,Domain of unknown function (DUF427)
PF04676,2,Protein similar to CwfJ C-terminus 2
PF03328,2,HpcH/HpaI aldolase/citrate lyase family
PF00205,2,"Thiamine pyrophosphate enzyme, central domain"
PF02492,2,"CobW/HypB/UreG, nucleotide-binding domain"
PF00410,2,Ribosomal protein S8
PF00258,2,Flavodoxin
PF02515,2,CoA-transferase family III
PF16870,2,2-oxoglutarate dehydrogenase C-terminal
PF00276,2,Ribosomal protein L23
PF13175,2,AAA ATPase domain
PF04950,2,40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal
PF08142,2,AARP2CN (NUC121) domain
PF13563,2,2'-5' RNA ligase superfamily
PF01012,2,Electron transfer flavoprotein domain
PF00673,2,ribosomal L5P family C-terminus
PF03874,2,RNA polymerase Rpb4
PF01428,2,AN1-like Zinc finger
PF03992,2,Antibiotic biosynthesis monooxygenase
PF09340,2,Histone acetyltransferase subunit NuA4
PF15985,2,KH domain
PF00319,2,SRF-type transcription factor (DNA-binding and dimerisation domain)
PF13384,2,Homeodomain-like domain
PF00466,2,Ribosomal protein L10
PF17777,2,Insertion domain in 60S ribosomal protein L10P
PF05794,2,T-complex protein 11
PF05241,2,EXPERA (EXPanded EBP superfamily)
PF19036,2,"First Longin domain of FUZ, MON1 and HPS1"
PF19037,2,"Second Longin domain of FUZ, MON1 and HPS1"
PF19038,2,"Third Longin domain of FUZ, MON1 and HPS1"
PF01459,2,Eukaryotic porin
PF10384,2,Centromere protein Scm3
PF08726,2,Ca2+ insensitive EF hand
PF11971,2,CAMSAP CH domain
PF00917,2,MATH domain
PF13091,2,PLD-like domain
PF00953,2,Glycosyl transferase family 4
PF00164,2,Ribosomal protein S12/S23
PF09803,2,Pet100
PF04855,2,SNF5 / SMARCB1 / INI1
PF01663,2,Type I phosphodiesterase / nucleotide pyrophosphatase
PF10513,2,Enhancer of polycomb-like
PF03232,2,Ubiquinone biosynthesis protein COQ7
PF09334,2,tRNA synthetases class I (M)
PF19303,2,Anticodon binding domain of methionyl tRNA ligase
PF08351,2,"tRNA(Met) cytidine acetyltransferase TmcA, N-terminal"
PF13718,2,GNAT acetyltransferase 2
PF13725,2,Possible tRNA binding domain
PF06398,2,Integral peroxisomal membrane peroxin
PF09288,2,Fungal ubiquitin-associated domain
PF01150,2,GDA1/CD39 (nucleoside phosphatase) family
PF05742,2,Transport and Golgi organisation 2
PF00923,2,Transaldolase/Fructose-6-phosphate aldolase
PF18271,2,Glycoside hydrolase 131 catalytic N-terminal domain
PF02838,2,"Glycosyl hydrolase family 20, domain 2"
PF01204,2,Trehalase
PF18803,2,CxC2 like cysteine cluster associated with KDZ transposases
PF07823,2,Cyclic phosphodiesterase-like protein
PF10602,2,26S proteasome subunit RPN7
PF04099,2,Sybindin-like family
PF00613,2,"Phosphoinositide 3-kinase family, accessory domain (PIK domain)"
PF04046,2,PSP
